name	attribute
id	SICE_v14
naming_authority	geus.dk
title	SICE v1.4 data after Kokhanovsky et al (2018, 2019, 2020)
summary	Broadband albedo based on Kokhanovsky et al (2018, 2019, 2020) for snow and a fit of four OLCI bands’ TOA reflectance versus PROMICE automatic weather station albedo data for bare ice conditions when albedo is below 0.565. Coupled with a temporal filtering based on outlier detection after Box et al (2017) GEUS Bulletin, daily “gapless” 1 km grids are then generated by updating pixel values when an area is considered cloud free. See Wehrlé et al (2020) GEUS Bulletin (submitted) for additional detail.
keywords	Greenland ice sheet, albedo, MODIS, MOD10A1
geospatial_lat_min	TBD
geospatial_lat_max	TBD
geospatial_lon_min	TBD
geospatial_lon_max	TBD
time_coverage_start	2017-05-01
time_coverage_end	2019-09-31
Conventions	BLANK
history	BLANK
source	BLANK
processing_level	L3
date_created	2019-06-09
creator_type	group
creator_institution	Geological Survey of Denmark and Greenland (GEUS)
creator_name	Jason Box, Adrien Wehrlé, Baptiste Vandecrux, Ken D. Mankoff
creator_email	jeb@geus.dk
creator_url	http://snow.geus.dk/
institution	Geological Survey of Denmark and Greenland (GEUS)
publisher_name	BLANK
publisher_email	jeb@geus.dk
publisher_url	http://snow.geus.dk/
project	ESA PRODEX project: “An operational service of new Sentinel-3 algorithms for climate monitoring of the Greenland Cryosphere within the CryoClim network”
